City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,rapar,23.5667,70.6333,82.49,78,27,21.32,IN,1684964194
84,las tablas,7.7667,-80.2833,91.17,99,99,7.27,PA,1684964194
85,koch bihar,26.3167,89.4333,75.45,72,3,2.55,IN,1684964194
86,olonkinbyen,70.9221,-8.7187,29.12,93,100,43.31,SJ,1684964194
87,bamboo flat,11.7,92.7167,83.26,74,91,9.8,IN,1684964194
88,yellowknife,62.456,-114.3525,57.72,62,75,9.22,CA,1684964194
89,pacific grove,36.6177,-121.9166,64.35,73,100,16.11,US,1684964195
90,constitucion,-35.3333,-72.4167,55.15,83,98,4.56,CL,1684963966
91,demre,36.2537,29.9777,63.82,80,79,1.79,TR,1684964195
92,bryne,58.7354,5.6477,48.94,92,100,12.66,NO,1684964195
93,chonchi,-42.6128,-73.8092,45.61,84,55,8.97,CL,1684964195
94,mbaiki,3.8678,17.9892,76.26,64,7,2.37,CF,1684964195
95,vila franca do campo,37.7167,-25.4333,63.01,80,49,7.09,PT,1684964195
96,la ronge,55.1001,-105.2842,52.05,71,100,2.3,CA,1684964195
97,tondano,1.3038,124.9112,68.09,91,99,2.82,ID,1684964195
98,luderitz,-26.6481,15.1594,53.94,87,81,2.53,NA,1684964195
99,damara,4.9608,18.7035,74.28,79,15,2.8,CF,1684964196
100,antofagasta,-23.65,-70.4,63.68,83,26,7.83,CL,1684963984
101,remire-montjoly,4.9167,-52.2667,82.44,74,0,6.91,GF,1684964196
102,hamilton,39.1834,-84.5333,83.98,41,0,11.5,US,1684964196
103,saldanha,-33.0117,17.9442,55.45,89,100,21.39,ZA,1684964196
104,bam,29.106,58.357,85.55,16,83,8.14,IR,1684964196
105,iguape,-24.7081,-47.5553,69.04,90,0,7.18,BR,1684964196
106,puerto ayora,-0.7393,-90.3518,87.76,87,37,7.0,EC,1684964196
107,papatowai,-46.5619,169.4708,53.6,78,57,5.37,NZ,1684964196
108,zhanga buqtyrma,49.6295,83.5248,50.13,80,70,4.94,KZ,1684964197
109,bengkulu,-3.8004,102.2655,75.76,90,16,3.53,ID,1684964197
110,aasiaat,68.7098,-52.8699,30.92,78,80,7.9,GL,1684964197
111,bestobe,52.4994,73.0975,57.24,50,12,6.49,KZ,1684964197
112,gadzhiyevo,69.2551,33.3362,53.33,63,100,17.22,RU,1684964197
113,ibotirama,-12.1853,-43.2206,81.73,44,99,1.88,BR,1684964197
114,taroa,8.7058,171.2275,82.02,78,99,14.14,MH,1684964197
115,port elizabeth,-33.918,25.5701,53.89,82,0,4.61,ZA,1684964029
116,hithadhoo,-0.6,73.0833,81.97,77,98,8.52,MV,1684964197
117,manavalakurichi,8.1333,77.3,82.27,80,24,9.13,IN,1684964197
118,lodeynoye pole,60.726,33.5531,56.1,64,98,2.39,RU,1684964197
119,palmer,42.1584,-72.3287,72.91,77,75,11.5,US,1684964041
120,ust-nera,64.5667,143.2,35.92,87,82,5.21,RU,1684964198
121,richards bay,-28.783,32.0377,65.73,87,21,11.25,ZA,1684964198
122,siuna,13.7332,-84.7773,90.1,42,98,4.47,NI,1684964198
123,touros,-5.1989,-35.4608,77.56,83,31,8.88,BR,1684964198
124,crane,31.3974,-102.3501,88.86,37,3,15.21,US,1684964198
125,kenora,49.8167,-94.4337,58.17,35,75,16.11,CA,1684963973
